"","code","game_type","rival","pay_competitive","n"
"587","sujeto_0040017","competitive","2","2",8
"588","sujeto_0040017","competitive","2","3",8
"589","sujeto_0040017","competitive","2","4",7
"590","sujeto_0040017","competitive","3","1",5
"591","sujeto_0040017","competitive","3","2",6
"592","sujeto_0040017","competitive","3","3",7
"593","sujeto_0040017","competitive","3","4",8
"594","sujeto_0040017","competitive","4","1",8
"595","sujeto_0040017","competitive","4","2",8
"596","sujeto_0040017","competitive","4","3",6
"597","sujeto_0040017","competitive","4","4",6
"598","sujeto_0040017","individual","1","1",1
"599","sujeto_0040017","individual","1","2",1
"600","sujeto_0040017","individual","1","3",2
"601","sujeto_0040017","individual","1","4",1
"602","sujeto_0040017","individual","2","1",1
"603","sujeto_0040017","individual","2","4",1
"604","sujeto_0040017","individual","3","1",3
"605","sujeto_0040017","individual","3","2",2
"606","sujeto_0040017","individual","3","3",1
"607","sujeto_0040017","individual","4","3",2
"608","sujeto_0040017","individual","4","4",2
"609","sujeto_0040081","competitive","1","1",8
"610","sujeto_0040081","competitive","1","2",8
"611","sujeto_0040081","competitive","1","3",8
"612","sujeto_0040081","competitive","1","4",8
"613","sujeto_0040081","competitive","2","1",8
"614","sujeto_0040081","competitive","2","2",8
"615","sujeto_0040081","competitive","2","3",8
"616","sujeto_0040081","competitive","2","4",8
"617","sujeto_0040081","competitive","3","1",8
"618","sujeto_0040081","competitive","3","2",8
"619","sujeto_0040081","competitive","3","3",8
"620","sujeto_0040081","competitive","3","4",8
"621","sujeto_0040081","competitive","4","1",8
"622","sujeto_0040081","competitive","4","2",8
"623","sujeto_0040081","competitive","4","3",8
"624","sujeto_0040081","competitive","4","4",8
"625","sujeto_0048205","competitive","1","1",1
"626","sujeto_0048205","competitive","1","2",8
"627","sujeto_0048205","competitive","1","3",8
"628","sujeto_0048205","competitive","1","4",8
"629","sujeto_0048205","competitive","2","1",1
"630","sujeto_0048205","competitive","2","2",8
"631","sujeto_0048205","competitive","2","3",8
"632","sujeto_0048205","competitive","2","4",8
"633","sujeto_0048205","competitive","3","1",1
"634","sujeto_0048205","competitive","3","2",8
"635","sujeto_0048205","competitive","3","3",8
"636","sujeto_0048205","competitive","3","4",8
"637","sujeto_0048205","competitive","4","1",2
"638","sujeto_0048205","competitive","4","2",8
